,link_id,week_type,velocity_CG_AVRG
5,478344746,weekend,69.67
7,571200680,weekend,15.75
8,571200680,weekend,18.48
9,571200886,weekend,22.03
10,571200886,weekend,25.76
11,571200912,weekend,22.03
12,571200912,weekend,25.76
13,571200916,weekend,21.88
14,571200916,weekend,26.07
15,571200919,weekend,30.08
16,571200919,weekend,30.31
17,571200938,weekend,31.89
18,571200938,weekend,32.01
19,571200995,weekend,51.87
20,571200995,weekend,50.0
21,571201996,weekend,11.42
22,571201996,weekend,8.42
23,571202002,weekend,10.24
24,571202002,weekend,7.92
27,571210019,weekend,13.71
28,571210019,weekend,14.53
29,571210026,weekend,13.71
30,571210026,weekend,14.53
31,571210028,weekend,50.0
32,571210028,weekend,51.87
33,571210057,weekend,15.75
34,571210057,weekend,18.48
35,571210075,weekend,13.74
36,571210075,weekend,10.93
37,571210085,weekend,29.81
38,571210085,weekend,27.82
39,571210089,weekend,29.81
40,571210089,weekend,27.82
41,571210139,weekend,21.49
42,571210139,weekend,30.14
43,571210142,weekend,25.76
44,571210142,weekend,22.03
45,571210145,weekend,14.35
46,571210145,weekend,12.9
47,571210148,weekend,22.03
48,571210148,weekend,25.76
49,571210156,weekend,14.35
50,571210156,weekend,12.9
51,571210192,weekend,25.16
52,571210192,weekend,26.95
53,571210305,weekend,14.99
54,571210305,weekend,17.08
55,571210330,weekend,31.89
56,571210330,weekend,32.01
57,571210333,weekend,30.31
58,571210333,weekend,30.08
59,571210338,weekend,26.07
60,571210338,weekend,21.88
61,571210348,weekend,32.01
62,571210348,weekend,31.89
63,571210370,weekend,21.88
64,571210370,weekend,26.07
65,571240019,weekend,15.53
66,571240019,weekend,15.58
67,571240026,weekend,14.78
68,571240026,weekend,12.79
69,571240630,weekend,50.33
70,571240630,weekend,51.75
71,571240644,weekend,12.57
72,571240644,weekend,14.62
73,571240646,weekend,13.72
74,571240646,weekend,13.27
75,571240660,weekend,20.29
76,571240660,weekend,19.63
77,571240674,weekend,14.44
78,571240674,weekend,10.99
79,571240785,weekend,37.05
80,571240785,weekend,33.04
81,571240789,weekend,10.75
82,571240789,weekend,13.24
83,571240791,weekend,13.24
84,571240791,weekend,10.75
85,571240794,weekend,13.24
86,571240794,weekend,10.75
87,571240835,weekend,17.68
88,571240835,weekend,12.49
89,571240838,weekend,12.49
90,571240838,weekend,17.68
91,571240892,weekend,46.23
92,571240892,weekend,44.49
93,571240914,weekend,49.72
94,571240914,weekend,36.45
95,571240923,weekend,12.94
96,571240923,weekend,13.0
97,571240941,weekend,12.94
98,571240941,weekend,13.0
99,571240942,weekend,13.0
100,571240942,weekend,12.94
101,571240952,weekend,13.0
102,571240952,weekend,12.94
106,571241147,weekend,13.71
107,571241147,weekend,14.53
108,571241194,weekend,51.87
109,571241194,weekend,50.0
110,571241205,weekend,51.87
111,571241205,weekend,50.0
112,571241210,weekend,32.01
113,571241210,weekend,31.89
114,571241217,weekend,29.81
115,571241217,weekend,27.82
116,571241371,weekend,15.58
117,571241371,weekend,15.53
118,571241464,weekend,15.81
119,571241464,weekend,18.27
120,571241471,weekend,39.72
121,571241471,weekend,29.05
122,571241499,weekend,10.93
123,571241499,weekend,13.74
124,571241502,weekend,10.93
125,571241502,weekend,13.74
126,571241697,weekend,17.68
127,571241697,weekend,12.49
128,571241701,weekend,36.45
129,571241701,weekend,49.72
130,571241705,weekend,50.33
131,571241705,weekend,51.75
132,571241706,weekend,51.75
133,571241706,weekend,50.33
134,571241733,weekend,17.19
135,571241733,weekend,15.2
136,571241736,weekend,17.19
137,571241736,weekend,15.2
138,571241951,weekend,15.53
139,571241951,weekend,15.58
140,571241971,weekend,14.58
141,571241971,weekend,16.87
142,571241973,weekend,22.03
143,571241973,weekend,25.76
144,571241979,weekend,23.86
145,571241979,weekend,46.04
146,571242020,weekend,15.75
147,571242020,weekend,18.48
148,571242026,weekend,25.6
149,571242026,weekend,38.59
150,571242028,weekend,33.09
151,571242028,weekend,20.71
152,571242030,weekend,33.78
153,571242030,weekend,35.37
154,571242048,weekend,46.04
155,571242048,weekend,23.86
156,571242065,weekend,43.3
157,571242065,weekend,48.1
158,571242222,weekend,11.75
159,571242222,weekend,21.77
160,571242286,weekend,16.93
161,571242301,weekend,21.77
162,571242301,weekend,11.75
163,571242306,weekend,17.56
164,571242308,weekend,17.49
165,571242310,weekend,13.27
166,571242310,weekend,13.72
167,571242311,weekend,10.47
168,571242333,weekend,12.15
169,571242333,weekend,14.63
170,571242413,weekend,11.96
171,571242413,weekend,12.44
172,571242445,weekend,15.76
173,571242445,weekend,19.08
174,571242448,weekend,19.08
175,571242448,weekend,15.76
176,571242449,weekend,19.08
177,571242449,weekend,15.76
178,571242457,weekend,14.84
179,571242457,weekend,10.27
180,571242481,weekend,12.44
181,571242481,weekend,11.96
182,571242495,weekend,14.6
183,571242495,weekend,15.38
184,571242533,weekend,14.18
185,571242533,weekend,14.23
186,571242540,weekend,15.38
187,571242540,weekend,14.6
188,571242550,weekend,14.23
189,571242550,weekend,14.18
190,571242556,weekend,13.43
191,571242556,weekend,13.3
192,571242594,weekend,31.89
193,571242594,weekend,32.01
194,571242597,weekend,11.75
195,571242597,weekend,21.77
196,571242625,weekend,19.95
197,571242625,weekend,18.2
198,571242672,weekend,18.48
199,571242672,weekend,15.75
200,571242683,weekend,16.4
201,571242683,weekend,19.8
202,571242694,weekend,16.87
203,571242694,weekend,14.58
204,571242715,weekend,37.05
205,571242715,weekend,33.04
206,571242727,weekend,12.92
207,571242727,weekend,14.38
208,571242730,weekend,31.43
209,571242730,weekend,30.09
210,571242742,weekend,35.21
211,571242742,weekend,31.24
212,571242743,weekend,13.27
213,571242743,weekend,13.72
214,571242744,weekend,13.72
215,571242744,weekend,13.27
216,571242745,weekend,27.82
217,571242745,weekend,29.81
218,571242747,weekend,14.62
219,571242747,weekend,12.57
220,571242748,weekend,14.62
221,571242748,weekend,12.57
222,571242755,weekend,13.18
223,571242759,weekend,6.83
224,571242760,weekend,21.59
225,571242763,weekend,16.1
226,571242785,weekend,48.1
227,571242785,weekend,43.3
228,571242788,weekend,36.34
229,571242788,weekend,32.32
230,571242802,weekend,36.45
231,571242802,weekend,49.72
232,571242879,weekend,13.85
233,571242879,weekend,11.33
234,571242887,weekend,12.72
235,571242887,weekend,13.56
236,571242888,weekend,13.56
237,571242888,weekend,12.72
238,571242908,weekend,51.87
239,571242908,weekend,50.0
240,571242924,weekend,14.44
241,571242924,weekend,10.99
